source,year,title,doi
Europe PMC,2024,A clinical study based on bidirectional Mendelian randomization: Correlation between generalized anxiety disorder and weight-bearing joints osteoarthritis.,10.1016/j.heliyon.2024.e32988
Europe PMC,2025,Should we worry about how we measure worry? Insights from an updated version of the Italian Penn State Worry Questionnaire.,10.1016/j.ijchp.2025.100579
Europe PMC,2026,"Synergising latent profile analysis and network analysis to elucidate the relationships among emotion dysregulation, post-traumatic stress disorder, dissociation, psychosis, and affective symptoms in individuals with trauma and severe mental illness.",10.1016/j.ijchp.2026.100714
Europe PMC,2021,Parasympathetic cardiac control and attentional focus in trait worry.,10.1016/j.ijpsycho.2020.05.002
Europe PMC,2020,Psychophysiological correlates of anxious apprehension: Trait worry is associated with startle response to threat.,10.1016/j.ijpsycho.2020.09.020
Europe PMC,2021,Changes in sleep structure and sleep spindles are associated with the neuropsychiatric profile in paradoxical insomnia.,10.1016/j.ijpsycho.2021.07.626
Europe PMC,2016,Internet-delivered acceptance-based behavior therapy for generalized anxiety disorder: A pilot study.,10.1016/j.invent.2016.08.004
Europe PMC,2022,"Worry-specific versus self-tailored internet-based treatments for generalized anxiety disorder, with scheduled support or support on demand: A pilot factorial design trial.",10.1016/j.invent.2022.100531
Europe PMC,2011,Subthreshold anxiety better defined by symptom self-report than by diagnostic interview.,10.1016/j.jad.2010.09.006
Europe PMC,2013,"White matter integrity alterations in first episode, treatment-naive generalized anxiety disorder.",10.1016/j.jad.2012.11.060
Europe PMC,2013,Reference values for anxiety questionnaires: the Leiden Routine Outcome Monitoring Study.,10.1016/j.jad.2013.05.031
Europe PMC,2014,"Observing nonreactively: a conditional process model linking mindfulness facets, cognitive emotion regulation strategies, and depression and anxiety symptoms.",10.1016/j.jad.2014.04.024
Europe PMC,2019,"The multidimensional nature of adult social inhibition: Inhibition, sensitivity and withdrawal facets of the SIQ15.",10.1016/j.jad.2018.11.035
Europe PMC,2019,Worry and anger are associated with latent classes of problematic smartphone use severity among college students.,10.1016/j.jad.2018.12.047
OpenAlex,2019,Points that need attention in quantitative EEG gamma synchronization,10.1016/j.jad.2019.02.054
Europe PMC,2019,Associations between grip strength and generalized anxiety disorder in older adults: Results from the Irish longitudinal study on ageing.,10.1016/j.jad.2019.05.043
Europe PMC,2019,When worry may be good for you: Worry severity and limbic-prefrontal functional connectivity in late-life generalized anxiety disorder.,10.1016/j.jad.2019.07.022
Europe PMC,2020,Metacognitions and repetitive negative thinking in bipolar disorder and healthy controls: A comparative study.,10.1016/j.jad.2020.07.013
Europe PMC,2021,Resistance exercise training among young adults with analogue generalized anxiety disorder.,10.1016/j.jad.2020.12.020
Europe PMC,2021,"Metacognitions, rumination, and worry in personality disorder.",10.1016/j.jad.2021.06.024
Europe PMC,2021,High worry in pregnancy predicts postpartum depression.,10.1016/j.jad.2021.07.009
Europe PMC,2024,Maternal affective symptoms and sleep quality have sex-specific associations with placental topography.,10.1016/j.jad.2024.05.108
Europe PMC,2025,Personalized assessment of eating disorder cognitions during treatment: A new measure of cognitive pathology change.,10.1016/j.jad.2024.09.103
Europe PMC,2025,Effectiveness of mindfulness-based cognitive therapy for treating generalized anxiety disorder and the moderating influence of abuse during childhood: A randomized controlled trial.,10.1016/j.jad.2025.02.103
Europe PMC,2025,Validation of the state-brief-penn state worry questionnaire.,10.1016/j.jad.2025.04.005
Europe PMC,2026,Differential cerebral white matter tract alterations in generalized anxiety disorder revealed by ultra-high-field 7 T diffusion-weighted imaging.,10.1016/j.jad.2026.121989
Europe PMC,2026,Resistance exercise training compared to a low-intensity sham for depressive symptoms in young women with analogue generalized anxiety disorder: A randomized controlled trial.,10.1016/j.jad.2026.122228
Europe PMC,2013,The peaceful mind program: a pilot test of a cognitive-behavioral therapy-based intervention for anxious patients with dementia.,10.1016/j.jagp.2013.01.007
Europe PMC,2014,"Alcohol use, anxiety, and insomnia in older adults with generalized anxiety disorder.",10.1016/j.jagp.2013.04.001
Semantic Scholar,2015,"Elevated Worry Is Associated with Better, Not Worse, Cognitive Performance in Old Community-Residing Adults Reporting Elevated Symptoms of Anxiety or Depression",10.1016/j.jagp.2014.12.173
Europe PMC,2015,Barriers to Mental Health Treatment in Rural Older Adults.,10.1016/j.jagp.2015.06.002
Europe PMC,2016,Calmer Life: A Culturally Tailored Intervention for Anxiety in Underserved Older Adults.,10.1016/j.jagp.2016.03.008
Europe PMC,2016,"Efficacy of Cognitive Behavioral Therapy for Generalized Anxiety Disorder in Older Adults: Systematic Review, Meta-Analysis, and Meta-Regression.",10.1016/j.jagp.2016.06.006
Europe PMC,2016,Emotion Reactivity and Cerebrovascular Burden in Late-Life GAD: A Neuroimaging Study.,10.1016/j.jagp.2016.07.015
Europe PMC,2022,Are All Anxieties Created Equal? Stress-related Networks and Anxiety Phenotypes in Old Age.,10.1016/j.jagp.2021.12.007
Europe PMC,2022,Long-Term Effects of Cognitive-Behavioral Therapy and Yoga for Worried Older Adults.,10.1016/j.jagp.2022.02.002
Europe PMC,2020,The Psychosocial Impact of Food Protein-Induced Enterocolitis Syndrome.,10.1016/j.jaip.2020.06.011
OpenAlex,2011,S2‐01‐04: Cognitive behavioral treatment of anxiety in mild to moderate dementia,10.1016/j.jalz.2011.05.806
OpenAlex,2013,P4–188: The Trajectory‐Related Early Alzheimer's Database (TREAD) study,10.1016/j.jalz.2013.05.1579
OpenAlex,2017,[P3–305]: THE RELATIONSHIP BETWEEN SUBJECTIVE MEMORY COMPLAINTS AND AFFECTIVE SYMPTOMS IN MEXICAN AMERICANS WITH MILD COGNITIVE IMPAIRMENT,10.1016/j.jalz.2017.06.1520
OpenAlex,2018,P2‐554: CHARACTERIZATION OF WORRY AND ITS EFFECT ON COGNITION IN MEXICAN AMERICAN WOMEN,10.1016/j.jalz.2018.06.1249
OpenAlex,2018,P3‐498: CHARACTERIZATION OF WORRY AND COGNITION IN MEXICAN AMERICAN WOMEN,10.1016/j.jalz.2018.06.1862
OpenAlex,2019,P4‐374: DEPRESSIVE AND ANXIETY SYMPTOM VARIABILITY ATTENUATES MEMORY AND EXECUTIVE FUNCTION MEASURE DECLINE ESTIMATES IN COGNITIVELY UNIMPAIRED OLDER ADULTS,10.1016/j.jalz.2019.06.4045
Europe PMC,2011,"Hoarding behaviors among nonclinical elderly adults: correlations with hoarding cognitions, obsessive-compulsive symptoms, and measures of general psychopathology.",10.1016/j.janxdis.2011.08.002
Europe PMC,2012,Dimensional indicators of generalized anxiety disorder severity for DSM-V.,10.1016/j.janxdis.2011.12.007
Europe PMC,2012,"The online version of the Dutch Penn State Worry Questionnaire: factor structure, predictive validity and reliability.",10.1016/j.janxdis.2012.08.002
Europe PMC,2013,Information processing bias and pharmacotherapy outcome in older adults with generalized anxiety disorder.,10.1016/j.janxdis.2012.10.007
Europe PMC,2013,Concordance of self- and proxy-rated worry and anxiety symptoms in older adults with dementia.,10.1016/j.janxdis.2012.11.001
Europe PMC,2014,Examining the latent structure of worry and generalized anxiety in a clinical sample.,10.1016/j.janxdis.2013.11.003
Europe PMC,2014,Comparison of the Penn State Worry Questionnaire (PSWQ) and abbreviated version (PSWQ-A) in a clinical and non-clinical population of older adults.,10.1016/j.janxdis.2014.07.005
Europe PMC,2014,Predictors of CBT outcome in older adults with GAD.,10.1016/j.janxdis.2014.09.012
Europe PMC,2016,Factor mixture modeling of the Penn State Worry Questionnaire: Evidence for distinct classes of worry.,10.1016/j.janxdis.2015.11.001
Europe PMC,2017,Metacognitive therapy versus disorder-specific CBT for comorbid anxiety disorders: A randomized controlled trial.,10.1016/j.janxdis.2017.06.004
Europe PMC,2020,Neurocognitive predictors of long-term outcome in CBT for late life generalized anxiety disorder.,10.1016/j.janxdis.2020.102246
Europe PMC,2020,"Psychometric properties of the Intolerance of Uncertainty Scale-12 in generalized anxiety disorder: Assessment of factor structure, measurement properties and clinical utility.",10.1016/j.janxdis.2020.102309
Europe PMC,2020,Working out the worries: A randomized controlled trial of high intensity interval training in generalized anxiety disorder.,10.1016/j.janxdis.2020.102311
Europe PMC,2021,From psychological to physical health: Exploring temporal precedence throughout emotion regulation therapy.,10.1016/j.janxdis.2021.102403
Europe PMC,2022,Mindfulness-based cognitive group therapy for treatment-refractory anxiety disorder: A pragmatic randomized controlled trial.,10.1016/j.janxdis.2022.102599
Europe PMC,2021,Randomized pilot trial of cognitive-behavioral therapy and acceptance-based behavioral therapy in the treatment of Spanish-speaking Latino primary care patients with generalized anxiety disorder.,10.1016/j.jbct.2020.11.007
Europe PMC,2010,Factor structure of the Dutch version of the Penn State Worry Questionnaire.,10.1016/j.jbtep.2010.02.009
Europe PMC,2012,An experimental investigation of the role of negative mood in worry: the role of appraisals that facilitate systematic information processing.,10.1016/j.jbtep.2011.12.002
Europe PMC,2015,Evaluation of a brief 4-session psychoeducation procedure for high  worriers based on the mood-as-input hypothesis.,10.1016/j.jbtep.2014.09.008
Europe PMC,2015,Dissociation between the cognitive and interoceptive components of mindfulness in the treatment of chronic worry.,10.1016/j.jbtep.2015.04.001
Europe PMC,2014,"The comparative clinical study of efficacy of Gamisoyo-San (Jiaweixiaoyaosan) on generalized anxiety disorder according to differently manufactured preparations: multicenter, randomized, double blind, placebo controlled trial.",10.1016/j.jep.2014.10.024
